Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,GeoCode,Value
2014,Remittance costs as a proportion of the amount remitted,,Percent,Normal value,Units,2024,,6.4
2015,Remittance costs as a proportion of the amount remitted,,Percent,Normal value,Units,2024,,6.0
2016,Remittance costs as a proportion of the amount remitted,,Percent,Normal value,Units,2024,,8.5
2017,Remittance costs as a proportion of the amount remitted,,Percent,Normal value,Units,2024,,8.3
2018,Remittance costs as a proportion of the amount remitted,,Percent,Normal value,Units,2024,,8.2
2019,Remittance costs as a proportion of the amount remitted,,Percent,Normal value,Units,2024,,8.4
2020,Remittance costs as a proportion of the amount remitted,,Percent,Normal value,Units,2024,,8.4
2021,Remittance costs as a proportion of the amount remitted,,Percent,Normal value,Units,2024,,9.1
2022,Remittance costs as a proportion of the amount remitted,,Percent,Normal value,Units,2024,,8.0
2023,Remittance costs as a proportion of the amount remitted,,Percent,Normal value,Units,2024,,8.3
2024,Remittance costs as a proportion of the amount remitted,,Percent,Normal value,Units,2024,,10.6
2014,"Total resource flows for development, by recipient and donor countries [10.b.1]",,Kenyan Shillings,Normal value,Millions,2024,,26957.1
2015,"Total resource flows for development, by recipient and donor countries [10.b.1]",,Kenyan Shillings,Normal value,Millions,2024,,28117.5
2016,"Total resource flows for development, by recipient and donor countries [10.b.1]",,Kenyan Shillings,Normal value,Millions,2024,,29596.7
2017,"Total resource flows for development, by recipient and donor countries [10.b.1]",,Kenyan Shillings,Normal value,Millions,2024,,25904.0
2018,"Total resource flows for development, by recipient and donor countries [10.b.1]",,Kenyan Shillings,Normal value,Millions,2024,,27600.1
2019,"Total resource flows for development, by recipient and donor countries [10.b.1]",,Kenyan Shillings,Normal value,Millions,2024,,19701.8
2020,"Total resource flows for development, by recipient and donor countries [10.b.1]",,Kenyan Shillings,Normal value,Millions,2024,,19819.7
2021,"Total resource flows for development, by recipient and donor countries [10.b.1]",,Kenyan Shillings,Normal value,Millions,2024,,31320.4
2022,"Total resource flows for development, by recipient and donor countries [10.b.1]",,Kenyan Shillings,Normal value,Millions,2024,,31031.2
2023,"Total resource flows for development, by recipient and donor countries [10.b.1]",,Kenyan Shillings,Normal value,Millions,2024,,23083.5
2024,"Total resource flows for development, by recipient and donor countries [10.b.1]",,Kenyan Shillings,Normal value,Millions,2024,,22037.2
