Year,Source details,SDG Series,Sex,Observation-level footnotes,Value
2015,Economic Survey,Proportion of population covered by at least one social protection benefit [1.3.1],,,4.5
2016,Economic Survey,Proportion of population covered by at least one social protection benefit [1.3.1],,,4.4
2017,Economic Survey,Proportion of population covered by at least one social protection benefit [1.3.1],,,4.2
2018,Economic Survey,Proportion of population covered by at least one social protection benefit [1.3.1],,,4.0
2019,Economic Survey,Proportion of population covered by at least one social protection benefit [1.3.1],,,3.3
2020,Economic Survey,Proportion of population covered by at least one social protection benefit [1.3.1],,,3.2
2021,Economic Survey,Proportion of population covered by at least one social protection benefit [1.3.1],,,2.9
2022,Economic Survey,Proportion of population covered by at least one social protection benefit [1.3.1],,,2.8
2015,Economic Survey,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],,Beneficiary Households,0.4
2016,Economic Survey,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],,Beneficiary Households,0.4
2017,Economic Survey,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],,Beneficiary Households,0.4
2018,Economic Survey,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],,Beneficiary Households,0.4
2019,Economic Survey,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],,Beneficiary Households,0.3
2020,Economic Survey,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],,Beneficiary Households,0.3
2021,Economic Survey,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],,Beneficiary Households,0.3
2022,Economic Survey,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],,Beneficiary Households,0.3
2018,,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,Older Persons aged 70+ on Cash Transfer Programme,78.3
2019,,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,Older Persons aged 70+ on Cash Transfer Programme,63.0
2020,,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,Older Persons aged 70+ on Cash Transfer Programme,57.3
2021,,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,Older Persons aged 70+ on Cash Transfer Programme,56.4
2022,,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,Older Persons aged 70+ on Cash Transfer Programme,55.9
2018,,Proportion of population above statutory pensionable age receiving a pension [1.3.1],Female,Older Persons aged 70+ on Cash Transfer Programme,87.3
2019,,Proportion of population above statutory pensionable age receiving a pension [1.3.1],Female,Older Persons aged 70+ on Cash Transfer Programme,67.0
2020,,Proportion of population above statutory pensionable age receiving a pension [1.3.1],Female,Older Persons aged 70+ on Cash Transfer Programme,68.4
2021,,Proportion of population above statutory pensionable age receiving a pension [1.3.1],Female,Older Persons aged 70+ on Cash Transfer Programme,66.6
2022,,Proportion of population above statutory pensionable age receiving a pension [1.3.1],Female,Older Persons aged 70+ on Cash Transfer Programme,65.1
2018,,Proportion of population above statutory pensionable age receiving a pension [1.3.1],Male,Older Persons aged 70+ on Cash Transfer Programme,67.3
2019,,Proportion of population above statutory pensionable age receiving a pension [1.3.1],Male,Older Persons aged 70+ on Cash Transfer Programme,57.7
2020,,Proportion of population above statutory pensionable age receiving a pension [1.3.1],Male,Older Persons aged 70+ on Cash Transfer Programme,45.6
2021,,Proportion of population above statutory pensionable age receiving a pension [1.3.1],Male,Older Persons aged 70+ on Cash Transfer Programme,45.3
2022,,Proportion of population above statutory pensionable age receiving a pension [1.3.1],Male,Older Persons aged 70+ on Cash Transfer Programme,40.8
