Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2014,Agriculture orientation index for government expenditures [2.a.1],,Index,Normal value,Units,,0.09
2015,Agriculture orientation index for government expenditures [2.a.1],,Index,Normal value,Units,,0.069752
2016,Agriculture orientation index for government expenditures [2.a.1],,Index,Normal value,Units,,0.116966
2017,Agriculture orientation index for government expenditures [2.a.1],,Index,Normal value,Units,,0.103218
2018,Agriculture orientation index for government expenditures [2.a.1],,Index,Normal value,Units,,0.153435
2019,Agriculture orientation index for government expenditures [2.a.1],,Index,Normal value,Units,,0.142765
2020,Agriculture orientation index for government expenditures [2.a.1],,Index,Normal value,Units,,0.143621
2021,Agriculture orientation index for government expenditures [2.a.1],,Index,Normal value,Units,,0.136944
2022,Agriculture orientation index for government expenditures [2.a.1],,Index,Normal value,Units,,0.144711
2023,Agriculture orientation index for government expenditures [2.a.1],,Index,Normal value,Units,,0.178688
2024,Agriculture orientation index for government expenditures [2.a.1],,Index,Normal value,Units,,0.174833
