Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2014,AG_FPA_COMM,,IX,,8.7
2015,AG_FPA_COMM,,IX,,11.4
2016,AG_FPA_COMM,,IX,,10.1
2017,AG_FPA_COMM,,IX,,13.4
2018,AG_FPA_COMM,,IX,,1.4
2019,AG_FPA_COMM,,IX,,0.346487
2020,AG_FPA_COMM,,IX,,0.179337
2021,AG_FPA_COMM,,IX,,0.117423
2022,AG_FPA_COMM,,IX,,2.339365
2023,AG_FPA_COMM,,IX,,-0.194503
2024,AG_FPA_COMM,,IX,,-0.423766
2019,_L_KE_020C01_01,,IX,,0.267181
2020,_L_KE_020C01_01,,IX,,0.366321
2021,_L_KE_020C01_01,,IX,,-0.451621
2022,_L_KE_020C01_01,,IX,,0.732774
2023,_L_KE_020C01_01,,IX,,-0.181758
2024,_L_KE_020C01_01,,IX,,-1.497974
2019,_L_KE_020C01_02,,IX,,-1.15004
2020,_L_KE_020C01_02,,IX,,-0.591863
2021,_L_KE_020C01_02,,IX,,0.161907
2022,_L_KE_020C01_02,,IX,,2.998686
2023,_L_KE_020C01_02,,IX,,0.93641
2024,_L_KE_020C01_02,,IX,,0.414964
2019,_L_KE_020C01_03,,IX,,0.501433
2020,_L_KE_020C01_03,,IX,,-0.338966
2021,_L_KE_020C01_03,,IX,,0.102964
2022,_L_KE_020C01_03,,IX,,0.01914
2023,_L_KE_020C01_03,,IX,,-1.078283
2024,_L_KE_020C01_03,,IX,,-0.153896
2019,_L_KE_020C01_04,,IX,,0.554832
2020,_L_KE_020C01_04,,IX,,-0.295069
2021,_L_KE_020C01_04,,IX,,1.740646
2022,_L_KE_020C01_04,,IX,,3.534038
2023,_L_KE_020C01_04,,IX,,-0.336193
2019,_L_KE_020C01_05,,IX,,1.372354
2020,_L_KE_020C01_05,,IX,,-0.346259
2021,_L_KE_020C01_05,,IX,,-1.350883
2022,_L_KE_020C01_05,,IX,,-0.30607
2023,_L_KE_020C01_05,,IX,,0.596598
2024,_L_KE_020C01_05,,IX,,9.2e-05
