Year,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2014,_L_KE_040501_01,,_L_KE_3,RO,A,0,2024,,0.92
2015,_L_KE_040501_01,,_L_KE_3,RO,A,0,2024,,0.9
2016,_L_KE_040501_01,,_L_KE_3,RO,A,0,2024,,0.95
2017,_L_KE_040501_01,,_L_KE_3,RO,A,0,2024,,0.95
2018,_L_KE_040501_01,,_L_KE_3,RO,A,0,2024,,0.96
2019,_L_KE_040501_01,,_L_KE_3,RO,A,0,2024,,1.0
2020,_L_KE_040501_01,,_L_KE_3,RO,A,0,2024,,1.01
2021,_L_KE_040501_01,,_L_KE_3,RO,A,0,2024,,1.03
2022,_L_KE_040501_01,,_L_KE_3,RO,A,0,2024,,1.04
2023,_L_KE_040501_01,,_L_KE_3,RO,A,0,2024,,1.03
2024,_L_KE_040501_01,,_L_KE_3,RO,A,0,2024,,1.01
2014,_L_KE_040501_01,,_L_KE_4,RO,A,0,2024,,0.65
2015,_L_KE_040501_01,,_L_KE_4,RO,A,0,2024,,0.66
2016,_L_KE_040501_01,,_L_KE_4,RO,A,0,2024,,0.78
2017,_L_KE_040501_01,,_L_KE_4,RO,A,0,2024,,0.78
2018,_L_KE_040501_01,,_L_KE_4,RO,A,0,2024,,0.77
2019,_L_KE_040501_01,,_L_KE_4,RO,A,0,2024,,0.76
2020,_L_KE_040501_01,,_L_KE_4,RO,A,0,2024,,0.75
2021,_L_KE_040501_01,,_L_KE_4,RO,A,0,2024,,0.75
2022,_L_KE_040501_01,,_L_KE_4,RO,A,0,2024,,0.89
2023,_L_KE_040501_01,,_L_KE_4,RO,A,0,2024,,0.84
2024,_L_KE_040501_01,,_L_KE_4,RO,A,0,2024,,0.9
2014,_L_KE_040501_01,,_L_KE_6,RO,A,0,2024,,0.71
2015,_L_KE_040501_01,,_L_KE_6,RO,A,0,2024,,0.71
2016,_L_KE_040501_01,,_L_KE_6,RO,A,0,2024,,0.71
2017,_L_KE_040501_01,,_L_KE_6,RO,A,0,2024,,0.7
2018,_L_KE_040501_01,,_L_KE_6,RO,A,0,2024,,0.7
2019,_L_KE_040501_01,,_L_KE_6,RO,A,0,2024,,0.68
2020,_L_KE_040501_01,,_L_KE_6,RO,A,0,2024,,0.68
2021,_L_KE_040501_01,,_L_KE_6,RO,A,0,2024,,0.68
2022,_L_KE_040501_01,,_L_KE_6,RO,A,0,2024,,0.74
2023,_L_KE_040501_01,,_L_KE_6,RO,A,0,2024,,0.76
2024,_L_KE_040501_01,,_L_KE_6,RO,A,0,2024,,0.82
2023,_L_KE_040501_01,,_L_KE_7,RO,A,0,2024,,0.96
2024,_L_KE_040501_01,,_L_KE_7,RO,A,0,2024,,0.94
2014,_L_KE_040501_01,,ISCED11_02,RO,A,0,2024,,1.05
2015,_L_KE_040501_01,,ISCED11_02,RO,A,0,2024,,0.97
2016,_L_KE_040501_01,,ISCED11_02,RO,A,0,2024,,0.96
2017,_L_KE_040501_01,,ISCED11_02,RO,A,0,2024,,0.96
2018,_L_KE_040501_01,,ISCED11_02,RO,A,0,2024,,0.96
2019,_L_KE_040501_01,,ISCED11_02,RO,A,0,2024,,0.96
2020,_L_KE_040501_01,,ISCED11_02,RO,A,0,2024,,0.97
2021,_L_KE_040501_01,,ISCED11_02,RO,A,0,2024,,1.0
2022,_L_KE_040501_01,,ISCED11_02,RO,A,0,2024,,1.01
2023,_L_KE_040501_01,,ISCED11_02,RO,A,0,2024,,1.01
2024,_L_KE_040501_01,,ISCED11_02,RO,A,0,2024,,1.0
2014,_L_KE_040501_01,,ISCED11_1,RO,A,0,2024,,0.97
2015,_L_KE_040501_01,,ISCED11_1,RO,A,0,2024,,0.97
2016,_L_KE_040501_01,,ISCED11_1,RO,A,0,2024,,0.97
2017,_L_KE_040501_01,,ISCED11_1,RO,A,0,2024,,0.97
2018,_L_KE_040501_01,,ISCED11_1,RO,A,0,2024,,0.97
2019,_L_KE_040501_01,,ISCED11_1,RO,A,0,2024,,0.97
2020,_L_KE_040501_01,,ISCED11_1,RO,A,0,2024,,0.96
2021,_L_KE_040501_01,,ISCED11_1,RO,A,0,2024,,0.96
2022,_L_KE_040501_01,,ISCED11_1,RO,A,0,2024,,0.97
2023,_L_KE_040501_01,,ISCED11_1,RO,A,0,2024,,0.96
2024,_L_KE_040501_01,,ISCED11_1,RO,A,0,2024,,0.96
