Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2014,FB_ATM_TOTL,,NUMBER,A,0,2023,,12.0
2015,FB_ATM_TOTL,,NUMBER,A,0,2023,,12.0
2016,FB_ATM_TOTL,,NUMBER,A,0,2023,,11.0
2017,FB_ATM_TOTL,,NUMBER,A,0,2023,,12.0
2018,FB_ATM_TOTL,,NUMBER,A,0,2023,,11.0
2019,FB_ATM_TOTL,,NUMBER,A,0,2023,,11.0
2020,FB_ATM_TOTL,,NUMBER,A,0,2023,,10.0
2021,FB_ATM_TOTL,,NUMBER,A,0,2023,,11.0
2022,FB_ATM_TOTL,,NUMBER,A,0,2023,,8.0
2023,FB_ATM_TOTL,,NUMBER,A,0,2023,,8.0
2014,FB_CBK_BRCH,,NUMBER,A,0,2022,,5.0
2015,FB_CBK_BRCH,,NUMBER,A,0,2022,,7.0
2016,FB_CBK_BRCH,,NUMBER,A,0,2022,,7.0
2017,FB_CBK_BRCH,,NUMBER,A,0,2022,,6.0
2018,FB_CBK_BRCH,,NUMBER,A,0,2022,,6.0
2019,FB_CBK_BRCH,,NUMBER,A,0,2022,,6.0
2020,FB_CBK_BRCH,,NUMBER,A,0,2022,,6.0
2021,FB_CBK_BRCH,,NUMBER,A,0,2022,,6.0
2022,FB_CBK_BRCH,,NUMBER,A,0,2022,,5.1
